Iteration,Wolf_ID,X,Y,Fitness,Role
16,6,1.07021,0.687347,33.605,omega
16,7,1.08851,1.09355,0.378734,omega
16,8,1.41941,1.18054,19.2554,omega
16,9,0.391214,1.22564,88.9657,omega
16,10,1.32156,1.72868,0.030193,omega
16,11,0.752855,1.0455,3.42719,omega
16,12,0.628775,0.50741,5.09796,omega
16,13,0.620335,1.35298,8.73509,omega
16,14,1.63781,1.04179,7.08953,omega
16,15,0.142189,0.797556,1149.68,omega
16,16,0.818441,0.550476,2.976,omega
16,17,1.44393,0.694685,26.5543,omega
16,18,1.18955,0.933865,0.382253,omega
16,19,0.76904,0.419413,17.244,omega
16,20,0.878999,1.57622,0.40232,omega
16,21,1.37568,1.08417,20.4052,omega
16,22,0.87806,1.16893,7.05817,omega
16,23,0.692762,1.14735,64.806,omega
16,24,1.00771,0.588148,70.5604,omega
16,25,0.677744,1.16256,42.9065,omega
16,26,1.17038,0.748118,39.3002,omega
16,27,1.29365,0.707513,4.52968,omega
16,28,0.866784,0.678355,31.6701,omega
16,29,0.871531,0.514683,7.35389,omega
16,30,0.887551,1.1813,67.3546,omega
17,1,0.940972,0.812997,21.2262,omega
17,2,0.936646,0.466065,41.2606,omega
17,3,0.149874,1.9122,119.745,omega
17,4,0.463344,1.44346,1.77643,omega
17,5,1.27989,0.926189,101.497,omega
17,6,1.49603,0.586365,20.9816,omega
17,7,0.615438,1.0089,0.84142,omega
17,8,0.959959,0.2139,69.7626,omega
17,9,1.25913,1.15616,115.415,omega
17,10,1.33647,0.183812,0.135196,omega
17,11,0.427156,1.1327,22.9771,omega
17,12,0.383557,1.34203,1.39338,omega
17,13,0.995843,1.58973,93.8785,omega
17,14,2.01289,1.13106,269.579,omega
17,15,0.304057,1.38651,61.1613,omega
17,16,0.914223,0.780553,1.45788,omega
17,17,1.11458,1.59038,193.474,omega
17,18,1.37105,0.214047,23.1889,omega
17,19,0.806649,1.07195,3.01211,omega
17,20,1.08995,0.914466,64.5887,omega
17,21,1.14457,1.2157,65.4815,omega
17,22,0.590277,1.61633,15.8506,omega
17,23,1.14616,1.21678,44.6406,omega
17,24,0.906458,0.466809,18.2611,omega
17,25,0.888132,1.44668,49.5554,omega
17,26,1.4751,1.46903,38.6775,omega
17,27,1.09793,1.37086,93.4031,omega
17,28,0.279846,0.335458,0.550045,omega
17,29,0.769085,0.833111,6.01333,omega
17,30,1.17777,0.50374,15.501,omega
18,1,1.03757,1.55934,0.528098,omega
18,2,0.290184,0.776648,16.9159,omega
18,3,1.54145,1.30831,357.834,omega
18,4,0.175907,1.30325,151.277,omega
18,5,1.16094,0.760488,50.764,omega
